keyword,volume,kd,intent,our_rank,assigned_page,page_type
pływanie z delfinami egipt,110,2,Informational,not ranking,/wycieczki/snorkeling-i-delfiny/,category
egipt quady,110,1,Informational,not ranking,/wycieczki/safari-i-quady/,category
zatoka żółwi marsa alam,110,0,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
egipt wycieczki fakultatywne marsa alam,110,0,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
wycieczki z sharm el sheikh do kairu,110,-1,Informational,not ranking,/wycieczki-z-sharm-el-sheikh/,destination
piramidy w gizie z lotu ptaka,90,26,"Informational, Transactional",not ranking,/wycieczki/kair-i-piramidy/,category
maps hurghada,90,26,Informational,not ranking,/wycieczki-z-hurghady/,destination
temperatura hurghada styczeń,90,25,Informational,not ranking,/wycieczki-z-hurghady/,destination
rejs czarna perła,90,25,"Informational, Navigational",not ranking,/wycieczki/rejsy-i-wyspy/,category
itaka wycieczki fakultatywne egipt marsa alam,90,24,"Informational, Transactional",not ranking,/wycieczki-z-marsa-alam/,destination
kair rainbow,90,23,"Navigational, Transactional",not ranking,BLOG,blog
hurghada zdjęcia,90,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura w grudniu,90,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada egypt map,90,22,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura w lutym,90,22,Informational,not ranking,/wycieczki-z-hurghady/,destination
atrakcje w egipcie hurghada,90,22,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
rejs egipt,90,21,Informational,not ranking,/wycieczki/rejsy-i-wyspy/,category
paradise hurghada,90,19,Commercial,#36,/wycieczki-z-hurghady/,destination
nil i piramidy,90,19,"Informational, Transactional",not ranking,/wycieczki/kair-i-piramidy/,category
mamsha hurghada,90,19,Transactional,not ranking,/wycieczki-z-hurghady/,destination
hurghada w styczniu,90,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura styczeń,90,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt potęga południa z marsa alam,90,15,"Informational, Transactional",not ranking,/wycieczki-z-marsa-alam/,destination
hurghada marsa alam,90,15,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada jaki kontynent,90,15,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada styczeń,90,15,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada soma bay,90,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
el quseir egipt,90,14,Informational,not ranking,BLOG,blog
hurghada wschód i zachód słońca,90,14,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
luxor piramidy,90,14,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam a hurghada,90,14,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada mapa egiptu,90,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada soma bay,90,13,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
safaga hurghada egypt,90,12,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada czy jest bezpiecznie,90,12,Informational,not ranking,/wycieczki-z-hurghady/,destination
temp wody hurghada,90,12,Informational,not ranking,/wycieczki-z-hurghady/,destination
temperatura wody w hurghadzie dzisiaj,90,11,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada jakie morze,90,10,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada marsa alam odległość,90,9,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada snorkeling,90,9,Commercial,not ranking,/wycieczki/snorkeling-i-delfiny/,category
rejs po jeziorze koman,90,9,Informational,not ranking,/wycieczki/rejsy-i-wyspy/,category
seascope hurghada,90,8,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
zwiedzanie piramid egipt,90,8,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada paradise,90,6,Informational,#31,/wycieczki-z-hurghady/,destination
hurghada orange bay,90,6,"Informational, Transactional",#29,/wycieczki-z-hurghady/orange-bay/,tour
plaża abu dabbab,90,6,Informational,not ranking,/wycieczki-z-marsa-alam/abu-dabbab/,tour
wycieczka piramidy egipt,90,6,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
mapa hurghady z hotelami,90,6,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada co warto wiedzieć,90,5,Informational,#87,/wycieczki-z-hurghady/,destination
orange beach hurghada,90,5,Informational,#25,/wycieczki-z-hurghady/,destination
egipt orange bay,90,5,Informational,#21,/wycieczki-z-hurghady/orange-bay/,tour
wycieczki fakultatywne egipt sharm el sheikh,90,5,Informational,not ranking,/wycieczki-z-sharm-el-sheikh/,destination
wycieczki w marsa alam,90,5,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
marsa alam luxor odległość,90,5,"Commercial, Informational",not ranking,/wycieczki/luksor/,category
marsa alam quady,90,3,Informational,not ranking,/wycieczki/safari-i-quady/,category
wycieczki hurghada kair,90,3,Informational,not ranking,/wycieczki-z-hurghady/,destination
wycieczka z hurghady do kairu cena,90,2,Informational,#41,/wycieczki-z-hurghady/,destination
snorkeling egipt,90,2,Informational,not ranking,/wycieczki/snorkeling-i-delfiny/,category
piramidy hurghada,90,2,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam safari,90,1,"Informational, Transactional",not ranking,/wycieczki/safari-i-quady/,category
dom delfinów marsa alam,90,0,"Informational, Transactional",#45,/wycieczki/snorkeling-i-delfiny/,category
wycieczka na piramidy z hurghady,90,0,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam tour,90,-1,Informational,#48,/wycieczki-z-marsa-alam/,destination
hurghada marzec,90,-1,Informational,not ranking,/wycieczki-z-hurghady/,destination
bazar hurghada,90,-1,Commercial,not ranking,/wycieczki-z-hurghady/,destination
hurghada meczet,90,-1,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada a marsa alam,90,-1,Informational,not ranking,/wycieczki-z-hurghady/,destination
czarna perła rejs,90,-1,"Informational, Navigational",not ranking,/wycieczki/rejsy-i-wyspy/,category
egipt hurghada miasto,70,26,Informational,not ranking,/wycieczki-z-hurghady/,destination
polskie biuro podróży hurghada,70,25,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
wycieczki w hurghadzie,70,24,Informational,not ranking,/wycieczki-z-hurghady/,destination
temperatura hurghada grudzień,70,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
piramidy pod woda,70,22,"Informational, Transactional",not ranking,/wycieczki/kair-i-piramidy/,category
hurghada holiday tour,70,19,Commercial,not ranking,/wycieczki-z-hurghady/,destination
hurghada opinie,70,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada port,70,18,Commercial,not ranking,/wycieczki-z-hurghady/,destination
gdzie jest kair,70,17,Informational,not ranking,BLOG,blog
hurghada temperatura kwiecień,70,17,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada zabytki,70,16,Informational,not ranking,/wycieczki-z-hurghady/,destination
atrakcje w hurghadzie,70,15,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
co warto zobaczyć w egipcie hurghada,70,15,Informational,not ranking,/wycieczki-z-hurghady/,destination
mapa egiptu hurghada,70,15,Informational,not ranking,/wycieczki-z-hurghady/,destination
hotele w egipcie hurghada,70,14,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
luxor hurghada,70,14,"Commercial, Informational",not ranking,/wycieczki/luksor/,category
makadi bay rafa koralowa,70,13,Informational,not ranking,/wycieczki/nurkowanie/,category
hurghada w listopadzie,70,12,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada bezpieczeństwo,70,12,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada hotele dla dorosłych,70,12,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada atrakcje turystyczne,70,12,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
kurort marsa alam,70,11,Commercial,not ranking,/wycieczki-z-marsa-alam/,destination
z piramidami,70,11,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
język w kairze,70,9,Informational,not ranking,BLOG,blog
hurghada nad jakim morzem,70,8,Informational,not ranking,/wycieczki-z-hurghady/,destination
zwiedzanie piramid cena,70,8,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam luksor,70,8,"Informational, Transactional",not ranking,/wycieczki/luksor/,category
ceny w egipcie hurghada,70,6,Informational,not ranking,/wycieczki-z-hurghady/,destination
delfinarium sharm el sheikh,70,5,Informational,not ranking,/wycieczki-z-hurghady/delfinarium-dolphin-show/,tour
luksor marsa alam,70,5,"Commercial, Informational",not ranking,/wycieczki/luksor/,category
luksor czy kair,70,4,Informational,not ranking,/wycieczki/luksor/,category
hurghada kair samolotem,70,3,"Commercial, Informational",#55,/wycieczki-z-hurghady/,destination
egipt safari,70,3,Informational,not ranking,/wycieczki/safari-i-quady/,category
super safari,70,2,Informational,not ranking,/wycieczki/safari-i-quady/,category
marsa alam wycieczki fakultatywne ceny,70,0,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
hurghada kair wycieczka,70,0,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
biuro podróży hurghada,50,31,Commercial,not ranking,/wycieczki-z-hurghady/,destination
lot hurghada kair,50,22,Informational,not ranking,/wycieczki-z-hurghady/,destination
wakacje z delfinem,50,20,"Informational, Navigational",not ranking,/wycieczki/snorkeling-i-delfiny/,category
kair muzeum egipskie,50,18,"Commercial, Informational",not ranking,/wycieczki/kair-i-piramidy/,category
mapa hurghada,50,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
coral travel wycieczki fakultatywne hurghada,50,16,"Navigational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada hotele 4 gwiazdkowe,50,12,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
wakacje el gouna,50,11,"Informational, Transactional",not ranking,BLOG,blog
el gouna egipt mapa,50,11,Informational,not ranking,BLOG,blog
gdzie kupić złoto w hurghadzie,50,11,Transactional,not ranking,/wycieczki-z-hurghady/,destination
gdzie do egiptu zeby zobaczyc piramidy,50,11,"Commercial, Informational",not ranking,/wycieczki/kair-i-piramidy/,category
hurghada temperatura wody w maju,50,9,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
hurghada rafy koralowe,50,8,Informational,not ranking,/wycieczki-z-hurghady/,destination
lot balonem pamukkale,50,6,Informational,not ranking,/wycieczki-z-hurghady/luksor-lot-balonem/,tour
luxor marsa alam,50,2,"Informational, Transactional",not ranking,/wycieczki/luksor/,category
kair na własną rękę,50,-1,Informational,not ranking,BLOG,blog
lot balonem egipt,50,-1,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/luksor-lot-balonem/,tour
hurghada giza,40,15,"Informational, Transactional",#67,/wycieczki-z-hurghady/,destination
hamata port,40,5,Informational,not ranking,BLOG,blog
marsa alam zatoka,40,4,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
zatoka żółwi marsa alam hotele,40,-1,"Informational, Transactional",not ranking,/wycieczki-z-marsa-alam/,destination
temperatura w hurghadzie w styczniu,30,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
marsa alam pustynia,30,14,"Informational, Transactional",not ranking,/wycieczki-z-marsa-alam/,destination
muzeum w hurghadzie,30,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada hotele z aquaparkiem,30,9,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
pustynia marsa alam,30,7,"Informational, Transactional",not ranking,/wycieczki-z-marsa-alam/,destination
egipt hurghada co warto wiedzieć,30,7,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hamata marsa alam,30,7,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
hurghada rafa,30,6,Informational,not ranking,/wycieczki/nurkowanie/,category
hurghada wycieczka do kairu,30,0,Informational,#44,/wycieczki/kair-i-piramidy/,category
z hurghady do kairu,30,0,Informational,#21,/wycieczki-z-hurghady/,destination
wycieczka z hurghady na piramidy,30,0,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
wycieczka hurghada giza,30,0,Informational,not ranking,/wycieczki-z-hurghady/,destination
